Neighbourhood,0 to 4-year-olds,5 to 9-year-olds,10 to 14-year-olds,15 to 19-year-olds,20 to 24-year-olds,25 to 29-year-olds,30 to 34-year-olds,35 to 39-year-olds,40 to 44-year-olds,45 to 49-year-olds,50 to 54-year-olds,55 to 59-year-olds,60 to 64-year-olds,65 to 69-year-olds,70 to 74-year-olds,75 to 79-year-olds,80 to 84-year-olds,85 to 89-year-olds,90 to 94-year-olds,95 to 99-year-olds,100-year-olds and above,Number of residents per 1-1
Oud Scheveningen,148.0,145.0,127.0,115.0,148.0,156.0,223.0,256.0,239.0,206.0,201.0,229.0,176.0,161.0,142.0,133.0,68.0,36.0,12.0,4.0,0.0,2925.0
Vissershaven,204.0,224.0,197.0,238.0,266.0,331.0,377.0,327.0,353.0,345.0,346.0,307.0,319.0,309.0,253.0,243.0,118.0,82.0,47.0,5.0,3.0,4894.0
Scheveningen Badplaats,238.0,233.0,275.0,265.0,349.0,360.0,476.0,457.0,440.0,451.0,415.0,360.0,346.0,286.0,248.0,235.0,135.0,62.0,20.0,5.0,0.0,5656.0
Visserijbuurt,199.0,195.0,237.0,232.0,237.0,266.0,295.0,285.0,290.0,254.0,275.0,252.0,216.0,229.0,189.0,200.0,129.0,82.0,35.0,9.0,1.0,4107.0
v Stolkpark/Schev Bosjes,25.0,28.0,28.0,52.0,32.0,37.0,33.0,41.0,43.0,50.0,49.0,77.0,63.0,57.0,52.0,65.0,26.0,20.0,12.0,5.0,0.0,795.0
Waldeck-Zuid,58.0,96.0,107.0,106.0,66.0,86.0,114.0,117.0,102.0,91.0,120.0,117.0,146.0,198.0,150.0,145.0,114.0,73.0,29.0,6.0,0.0,2041.0
Statenkwartier,399.0,488.0,651.0,735.0,578.0,610.0,579.0,578.0,656.0,813.0,859.0,761.0,672.0,483.0,472.0,499.0,278.0,126.0,61.0,18.0,6.0,10322.0
Geuzenkwartier,233.0,214.0,235.0,221.0,217.0,257.0,352.0,302.0,321.0,301.0,317.0,303.0,267.0,259.0,246.0,205.0,139.0,67.0,25.0,3.0,0.0,4484.0
Vogelwijk,179.0,367.0,512.0,470.0,219.0,78.0,93.0,180.0,338.0,463.0,519.0,491.0,359.0,317.0,314.0,324.0,122.0,55.0,27.0,10.0,1.0,5438.0
Rond de Energiecentrale,346.0,299.0,254.0,288.0,539.0,814.0,826.0,608.0,537.0,437.0,390.0,364.0,304.0,299.0,210.0,157.0,76.0,40.0,14.0,6.0,0.0,6808.0
Kortenbos,292.0,267.0,289.0,345.0,726.0,955.0,846.0,592.0,515.0,458.0,493.0,480.0,467.0,409.0,280.0,244.0,132.0,44.0,16.0,3.0,0.0,7853.0
Voorhout,55.0,61.0,35.0,72.0,286.0,481.0,324.0,214.0,177.0,157.0,129.0,141.0,112.0,99.0,87.0,86.0,58.0,22.0,6.0,0.0,0.0,2602.0
Uilebomen,153.0,126.0,132.0,125.0,253.0,611.0,572.0,436.0,286.0,236.0,216.0,204.0,167.0,184.0,150.0,114.0,57.0,14.0,8.0,3.0,0.0,4047.0
Zuidwal,244.0,204.0,202.0,312.0,802.0,1101.0,928.0,606.0,484.0,417.0,414.0,429.0,391.0,326.0,254.0,200.0,81.0,35.0,11.0,2.0,0.0,7443.0
Schildersbuurt-West,683.0,858.0,866.0,938.0,1176.0,1123.0,1083.0,1034.0,1033.0,891.0,994.0,889.0,828.0,669.0,432.0,313.0,193.0,97.0,18.0,5.0,1.0,14124.0
Schildersbuurt-Noord,473.0,553.0,644.0,697.0,698.0,652.0,606.0,578.0,641.0,650.0,610.0,609.0,671.0,565.0,417.0,270.0,142.0,68.0,15.0,2.0,0.0,9561.0
Schildersbuurt-Oost,323.0,421.0,458.0,466.0,508.0,433.0,378.0,412.0,454.0,429.0,485.0,447.0,504.0,357.0,288.0,174.0,94.0,45.0,5.0,2.0,0.0,6683.0
Huygenspark,303.0,294.0,282.0,669.0,1853.0,1251.0,651.0,477.0,410.0,379.0,388.0,331.0,307.0,232.0,208.0,137.0,78.0,34.0,17.0,2.0,0.0,8303.0
Laakhaven-Oost,212.0,196.0,184.0,448.0,1021.0,806.0,477.0,314.0,254.0,245.0,247.0,226.0,231.0,164.0,118.0,81.0,56.0,27.0,4.0,0.0,0.0,5311.0
Moerwijk-Oost,244.0,234.0,190.0,163.0,174.0,271.0,317.0,327.0,277.0,191.0,222.0,213.0,182.0,153.0,87.0,54.0,45.0,35.0,13.0,5.0,0.0,3397.0
Groente- en Fruitmarkt,400.0,377.0,357.0,486.0,856.0,798.0,635.0,622.0,623.0,529.0,519.0,464.0,338.0,219.0,135.0,90.0,41.0,17.0,4.0,0.0,0.0,7510.0
Laakhaven-West,412.0,348.0,328.0,350.0,735.0,1018.0,969.0,667.0,436.0,388.0,395.0,367.0,350.0,217.0,193.0,101.0,54.0,19.0,10.0,1.0,0.0,7358.0
Spoorwijk,172.0,247.0,238.0,300.0,319.0,280.0,257.0,273.0,262.0,284.0,294.0,275.0,258.0,149.0,98.0,62.0,40.0,21.0,4.0,0.0,0.0,3833.0
Laakkwartier-West,344.0,409.0,391.0,508.0,717.0,796.0,817.0,761.0,735.0,634.0,587.0,510.0,397.0,268.0,196.0,116.0,69.0,31.0,13.0,1.0,0.0,8300.0
